,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,elec_sites,MAA Value [kJ/mol],Type,reactant_error,product_error
163,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,10,219.8427543709986,Double bond,Connectivity,Connectivity
164,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,12,50.625419368967414,Double bond,Connectivity,None
165,C1CC2CC[C+:20](CCC1[O:10]2)C3=CC=CC=C3,13,"{20: 5, 10: 9}",13reac0,14,50.625419368967414,Double bond,Connectivity,None
166,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,1,115.89721800852567,Ester,None,None
167,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,8,60.74565553129651,Double bond,None,None
168,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,10,60.74565553129651,Double bond,None,None
169,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,6,59.429392136633396,Double bond,None,None
170,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,9,57.73269097530283,Double bond,None,None
171,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,7,43.211604095762596,Double bond,None,None
172,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,11,43.211604095762596,Double bond,None,None
173,CC(OC(C)(C)C1=CC=CC=C1)=[O:10],14,{10: 12},14reac0,12,-23.459688120055944,Double bond,None,Connectivity
174,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,0,551.4737943068612,Carbocation,None,None
175,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,4,426.0703687343048,Double bond,None,None
176,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,2,410.5219616270624,Double bond,None,None
177,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,6,410.5219616270624,Double bond,None,None
178,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,1,399.42749087826815,Double bond,None,Connectivity
179,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,3,124.17328957805876,Double bond,None,None
180,[CH2+:20]C2=CC=CC=C2,14,{20: 0},14reac1,5,124.17328957805876,Double bond,None,None
181,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,17,418.1337699284777,Carbocation,None,None
182,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,5,362.6834453009069,Amide,None,Connectivity
183,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,7,360.3789738812484,Double bond,None,None
184,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,22,342.1188323800452,Double bond,None,None
185,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,24,331.8453088775277,Double bond,None,None
186,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,20,326.9024704475887,Double bond,None,None
187,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,8,326.47682494530454,Double bond,None,Connectivity
188,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,15,"{10: 6, 20: 17}",15reac0,15,298.4269546554424,Double bond,None,None
