,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Est. Error [kJ/mol],Type
71,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,16,291.53448631726746,9.575931718579046,Double bond
72,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,12,286.5405889988603,11.433552487388821,Ether
73,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,14,285.26086461992116,10.92529945385671,Double bond
74,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,22,279.689838815265,9.933607262741866,Double bond
75,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,5,260.63605075337307,25.44998994492146,Double bond
76,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,7,233.6693438471691,22.668480885716903,Double bond
77,CC(=CCC1=C(C=C(C=C1[CH:20]=[O:21])OCC2=CC=CC=C2)OCC3=CC=CC=C3)C,34,"{20: 10, 21: 11}",34reac0,10,180.24293017464234,72.00879969740635,Double bond
78,C(C[NH2:10])N,34,{10: 2},34reac1,2,501.811442695369,11.489304076699096,Amine
79,C(C[NH2:10])N,34,{10: 2},34reac1,3,501.811442695369,11.489304076699096,Amine
80,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,2,423.766484150729,24.29585012287268,Amine
81,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,6,395.2166708442764,17.745036836067555,Atom with lone pair
82,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,5,362.80752634314564,15.871959146971784,Atom with lone pair
83,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,12,311.22533488550386,11.804112009387026,Double bond
84,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,14,309.9104050489536,11.44014389942063,Double bond
85,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,10,309.9104050489536,11.44014389942063,Double bond
86,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,13,306.7798694214751,11.363563093547263,Double bond
87,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,11,306.7798694214751,11.363563093547263,Double bond
88,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,9,277.7052265713991,17.978953146814654,Double bond
89,CC1([NH:10]C(C(=O)N1C)CC2=CC=CC=C2)C,35,{10: 2},35reac0,4,184.34275224553426,40.29984234727632,Double bond
90,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,8,328.7043268637592,12.884667250473319,Aldehyde
91,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,0,311.7406188482771,9.148597845177559,Double bond
92,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,4,310.91564592631016,13.335751012902373,Double bond
93,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,2,310.91564592631016,13.335751012902373,Double bond
94,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,5,304.76492305513807,8.031012263311643,Double bond
95,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,1,304.76492305513807,8.031012263311643,Double bond
96,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,3,261.6062972790048,10.335814720006951,Double bond
97,C1=CC=C(C=C1)C[CH:20]=[O:21],35,"{20: 7, 21: 8}",35reac1,7,217.47764802623283,47.46244815860656,Double bond
98,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,11,481.98122608067905,10.397801317147618,Amine
99,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,1,339.24363986277456,11.715307856368586,Ether
100,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,6,322.7497591636358,12.013469420127974,Double bond
101,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,10,322.7497591636358,12.013469420127974,Double bond
102,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,8,319.74441580769513,10.407914428027949,Double bond
103,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,7,303.06417603842135,11.903791563867443,Double bond
104,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,9,303.06417603842135,11.903791563867443,Double bond
105,COCC(CC1=CC=CC=C1)[NH2:10],36,{10: 11},36reac0,5,277.50607710087144,11.990038162108217,Double bond
106,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,4,347.31170460856924,11.245503597616903,Ketone
107,C1CC[C:20](=[O:21])CC1,36,"{20: 3, 21: 4}",36reac1,3,181.24142507930569,45.61188612168818,Double bond
108,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,18,476.792508873296,16.87147696076366,Amine
109,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,7,388.02194592478224,18.321348657596914,Double bond
110,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,13,359.28364189429345,15.164309529048046,Double bond
111,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,9,343.2868531003245,18.151392555169966,Double bond
112,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,15,339.1026071888369,18.851178207144205,Double bond
113,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,25,336.2743051852302,10.635711382521212,Aldehyde
114,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,10,330.2013344253119,18.55264760150765,Double bond
115,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,14,327.5735288354246,16.177683516277483,Double bond
116,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,16,327.44133569038553,10.438455795300126,Double bond
117,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,0,314.5409568514771,9.872885644626729,Double bond
118,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,2,306.23128037984804,9.357543371061777,Double bond
119,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,4,306.23128037984804,9.357543371061777,Double bond
120,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,3,294.81521111749595,19.376186357517945,Double bond
121,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,5,293.4611606861073,9.801170627805067,Double bond
