,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Type,reactant_error,product_error
126,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,8,283.0038430262357,Double bond,None,None
127,C1=CC=C(C=C1)C(C2=C(C=CC3=C2C=CC=C3)O)[NH:10]CCCCC[CH:20]=[O:21],37,"{10: 18, 20: 24, 21: 25}",37reac0,12,238.1331008314155,Double bond,None,None
128,CC[NH:10]CC,38,{10: 2},38reac0,2,505.35226720024366,Amine,None,None
129,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,10,606.4230614097323,Triple bond,None,Connectivity
130,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,11,362.6567709944211,Atom with lone pair,None,None
131,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,9,319.0181231829338,Double bond,None,None
132,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,7,317.3501949585043,Double bond,None,None
133,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,3,317.3501949585043,Double bond,None,None
134,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,12,316.9782896817196,Double bond,None,Connectivity
135,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,8,297.2852865306195,Double bond,None,Connectivity
136,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,5,296.84722031699494,Double bond,None,None
137,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,13,296.1004996439442,Atom with lone pair,None,None
138,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,4,269.2747565386817,Double bond,None,None
139,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,6,269.2747565386817,Double bond,None,None
140,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,1,267.31773733976297,Ether,None,None
141,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,14,249.75553151406348,Atom with lone pair,None,None
142,COC1=CC=C(C=C1)/[CH:20]=[C:21](\C#N)/[C:22](=[O:23])OC,38,"{20: 8, 21: 9, 22: 12, 23: 13}",38reac1,2,204.3684382964857,Double bond,None,None
143,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,6,383.30642825039104,Double bond,None,Connectivity
144,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,3,370.9457725903485,Double bond,None,Connectivity
145,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,8,348.5453177043237,Triple bond,None,Connectivity
146,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,9,343.9345212667249,Atom with lone pair,None,None
147,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,10,296.55314434622414,Atom with lone pair,None,Connectivity
148,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,4,273.8112902888097,Ester,None,None
149,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,7,253.42340598301962,Double bond,None,None
150,CCOC(=O)C([C:21](=[CH2:20])[C:22]#[N:23])O,39,"{21: 6, 20: 7, 22: 8, 23: 9}",39reac0,2,212.664894802263,Atom with lone pair,None,None
151,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,7,486.1510674841702,Amine,None,None
152,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,5,321.85428317217156,Double bond,None,None
153,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,2,321.362007597927,Double bond,None,Connectivity
154,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,0,300.35348009876907,Double bond,None,None
155,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,4,300.35348009876907,Double bond,None,None
156,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,1,298.5638397340663,Double bond,None,None
157,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,3,298.5638397340663,Double bond,None,None
158,C1=CC(=CC=C1C[NH2:10])Cl,39,{10: 7},39reac1,8,215.6249260394834,Atom with lone pair,None,None
159,C1CC[NH:10]C1,40,{10: 3},40reac0,3,507.1701374963159,Amine,None,None
160,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,7,334.7463728431612,Aldehyde,None,None
161,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,6,296.2159483078867,Double bond,None,Connectivity
162,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,3,272.63103895727545,Double bond,None,None
163,C1=CC(=CC=C1[CH:20]=[O:21])Cl,40,"{20: 6, 21: 7}",40reac1,1,272.63103895727545,Double bond,None,None
