,reactant_smi,rxn_id,mapped_atoms,reactant_id_no_underbar,nuc_sites,MCA Value [kJ/mol],Est. Error [kJ/mol],Type
86,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,20,274.9006546816684,32.040362174509156,Double bond
87,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,16,273.8807473157876,18.537738658803754,Double bond
88,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,13,266.79237214663397,17.626056168547652,Double bond
89,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,21,261.7342749715564,18.875838515218234,Double bond
90,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,22,256.9219256388272,24.85859891111882,Double bond
91,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,14,256.76677670238115,19.18405502582933,Double bond
92,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,24,254.09301339849281,20.445946333824985,Double bond
93,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,25,253.88247273691317,22.574663701885687,Double bond
94,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,8,253.36139299139776,29.478231312996485,Double bond
95,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,15,248.87736468348584,19.368575379772892,Double bond
96,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,23,245.01337079378467,20.54450778980315,Double bond
97,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,11,215.11765040866115,19.717000301282926,Double bond
98,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,12,211.33505352726462,23.314922796798996,Double bond
99,CCN(CC)C(=[O:10])C1=C(C=CC2=C1C=CC=C2)[C+:20]3CCC4=CC=CC=C43,7,"{10: 6, 20: 17}",7reac0,5,93.94241747263538,29.715730821545645,Double bond
100,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,1,355.5628302949795,12.569008928141749,Double bond
101,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,5,342.52902395615666,11.600087370530185,Double bond
102,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,3,342.52902395615666,11.600087370530185,Double bond
103,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,6,316.78573901385084,10.393408226475069,Double bond
104,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,2,316.78573901385084,10.393408226475069,Double bond
105,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,4,278.95115785633396,12.33717789772296,Double bond
106,CC1=CC=C(C=C1)[OH:10],8,{10: 7},8reac0,7,264.5136031436312,10.627170108246458,Phenol
107,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,12,256.6691089408846,17.572359186129624,Double bond
108,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,2,256.6691089408846,17.572359186129624,Double bond
109,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,14,256.6691089408846,17.572359186129624,Double bond
110,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,4,256.6691089408846,17.572359186129624,Double bond
111,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,8,256.6691089408846,17.572359186129624,Double bond
112,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,18,256.6691089408846,17.572359186129624,Double bond
113,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,10,250.1590465476206,21.799898203019993,Double bond
114,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,0,250.1590465476206,21.799898203019993,Double bond
115,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,16,250.1590465476206,21.799898203019993,Double bond
116,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,5,245.72754034682183,16.266730582386632,Double bond
117,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,17,245.72754034682183,16.266730582386632,Double bond
118,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,15,245.72754034682183,16.266730582386632,Double bond
119,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,11,245.72754034682183,16.266730582386632,Double bond
120,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,9,245.72754034682183,16.266730582386632,Double bond
121,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,1,245.72754034682183,16.266730582386632,Double bond
122,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,3,237.66340438235676,20.17929595279958,Double bond
123,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,7,237.66340438235676,20.17929595279958,Double bond
124,C1=CC=C(C=C1)[C+:20](C2=CC=CC=C2)C3=CC=CC=C3,8,{20: 6},8reac1,13,237.66340438235676,20.17929595279958,Double bond
