name,smiles,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
dd9ecf40e2a0c3acba43a67dbb282560,COc1cc(NC(=O)Nc2cccc([N+](=O)[O-])c2)cc(OC)c1,[H]c1c([H])c(N([H])C(=O)N([H])c2c([H])c(OC([H])([H])[H])c([H])c(OC([H])([H])[H])c2[H])c([H])c([N+](=O)[O-])c1[H],0,True,True
88b9086fd534fe158668207cbab70df8,O=C(O)/C=C\C(=O)Nc1ncn[nH]1,[H]OC(=O)/C([H])=C(/[H])C(=O)N([H])c1nc([H])nn1[H],0,True,True
7a93d633bc7f67c020f87c78d2ff9ae4,Oc1ccc(CCN2CCc3c([nH]c4ccc(Br)cc34)-c3c(I)ccnc32)cc1,[H]Oc1c([H])c([H])c(C([H])([H])C([H])([H])N2c3nc([H])c([H])c(I)c3-c3c(c4c([H])c(Br)c([H])c([H])c4n3[H])C([H])([H])C2([H])[H])c([H])c1[H],0,True,True
0769b068f799212c86c355c6ec4b4b5d,Cc1ccc2[nH]c(C(C#N)=Cc3ccc(OCC(N)=O)cc3)nc2c1C,[H]C(=C(C#N)c1nc2c(C([H])([H])[H])c(C([H])([H])[H])c([H])c([H])c2n1[H])c1c([H])c([H])c(OC([H])([H])C(=O)N([H])[H])c([H])c1[H],0,True,True
0279049b930de8013ef54da6f738141e,CCCCOc1cc(NC(=O)NC2CCc3ccccc32)ccc1OC,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])C2([H])N([H])C(=O)N([H])c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c1[H],0,True,True
2695f3e3014a6be6253cc95dd5344df7,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1,[H]c1c([H])c(N2C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])c(Cl)c([H])c1N([H])C(=O)C([H])([H])C([H])([H])C([H])([H])[H],0,True,True
f1184f37d8e13ab2208a349bebf928fd,CCc1ccc(Cc2ccccc2[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(c2c([H])c([H])c([H])c([H])c2C([H])([H])c2c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c2[H])[C@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],0,True,True
ad1d70e561c6f2c6a9601d3c203aecab,CCOc1cc(C(=O)NCc2cc(C(C)C)no2)ccc1OC,[H]c1c(C([H])(C([H])([H])[H])C([H])([H])[H])noc1C([H])([H])N([H])C(=O)c1c([H])c([H])c(OC([H])([H])[H])c(OC([H])([H])C([H])([H])[H])c1[H],0,True,True
7e783bfd6148dd8616f7b7bbc27bba6d,Cc1cc(CCc2c(Cl)cccc2Cl)cc(C)c1O,[H]Oc1c(C([H])([H])[H])c([H])c(C([H])([H])C([H])([H])c2c(Cl)c([H])c([H])c([H])c2Cl)c([H])c1C([H])([H])[H],0,True,True
8e262f064821eec89afa5fb620192833,COC(=O)c1scc(-c2ccc(NC(=O)c3cc(I)ccc3F)cc2)c1OC,[H]c1sc(C(=O)OC([H])([H])[H])c(OC([H])([H])[H])c1-c1c([H])c([H])c(N([H])C(=O)c2c([H])c(I)c([H])c([H])c2F)c([H])c1[H],0,True,True
65184c734c8c9b7985c75f30bf72ae8d,COc1cc(NC(=O)c2nc3ccccc3s2)cc(OC)c1OC,[H]c1c(OC([H])([H])[H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c1N([H])C(=O)c1nc2c([H])c([H])c([H])c([H])c2s1,0,True,True
dd47b1986a4a9c6e3e17ac561c9fc864,CC1CCc2nc3sc4ccccc4c3c(N)c2C1=O,[H]c1c([H])c([H])c2c(sc3nc4c(c(N([H])[H])c32)C(=O)C([H])(C([H])([H])[H])C([H])([H])C4([H])[H])c1[H],0,True,True
16336ab92b1ca6db3e7358cc30a5f5ed,CCCNC(=O)C1CCN(CC2(O)CCC(C)CC2)CC1,[H]OC1(C([H])([H])N2C([H])([H])C([H])([H])C([H])(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C2([H])[H])C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C1([H])[H],0,True,True
17bee8824ebdc7f81a65abc06b1246cb,Cc1onc(-c2ccccc2Cl)c1C(=O)N(c1ccc(Cl)cc1)C1CC1,[H]c1c([H])c([H])c(-c2noc(C([H])([H])[H])c2C(=O)N(c2c([H])c([H])c(Cl)c([H])c2[H])C2([H])C([H])([H])C2([H])[H])c(Cl)c1[H],0,True,True
81a6baea0c8d252d4881aacf12f219cb,C=CCn1c(C)cc(C(=O)COC(=O)/C=C/c2cccc(OC)c2)c1C,[H]C([H])=C([H])C([H])([H])n1c(C([H])([H])[H])c([H])c(C(=O)C([H])([H])OC(=O)/C([H])=C(\[H])c2c([H])c([H])c([H])c(OC([H])([H])[H])c2[H])c1C([H])([H])[H],0,True,True
e7de437ce60c4ddbe81b513c00fcb526,CON(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@](C)(O)[C@H]1O,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N(OC([H])([H])[H])C([H])([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@@]1(O[H])C([H])([H])[H],0,True,True
626cc349f25ec0146c4e53a67b4b2185,O=c1[nH]c(=O)n(C2OC(CO)C(O)C2O)cc1OCCCc1ccccc1,[H]OC([H])([H])C1([H])OC([H])(n2c([H])c(OC([H])([H])C([H])([H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c(=O)n([H])c2=O)C([H])(O[H])C1([H])O[H],0,True,True
23e8d1660f4fbdfb7ddfc1230b3ac5d9,COc1ccc(NC2=N/C(=C\c3ccc4c(c3)OCO4)C(=O)N2)cc1,[H]/C(=C1/N=C(N([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])N([H])C1=O)c1c([H])c([H])c2c(c1[H])OC([H])([H])O2,0,True,True
cb3db466b20450f077841b886845bb5a,CN1CCN(NC(=O)CC(C)(C)C)CC1,[H]N(C(=O)C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])N1C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C1([H])[H],0,True,True
1dd7ee5ad6184fc666ac3d7abb4f15cd,C[C@H](OC(=O)/C=C/c1ccc(O)c(O)c1)[C@H](C)OC(=O)/C=C/c1ccc(O)c(O)c1,[H]Oc1c([H])c([H])c(/C([H])=C(\[H])C(=O)O[C@@]([H])(C([H])([H])[H])[C@@]([H])(OC(=O)/C([H])=C(\[H])c2c([H])c([H])c(O[H])c(O[H])c2[H])C([H])([H])[H])c([H])c1O[H],0,True,True
65002573d0084adc9afcf3a5022da8f6,O=c1c(-c2cc(O)c(O)c(O)c2)coc2cc(O)c(O)c(O)c12,[H]Oc1c([H])c(-c2c([H])oc3c([H])c(O[H])c(O[H])c(O[H])c3c2=O)c([H])c(O[H])c1O[H],0,True,True
