name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA_values,cm5,split
0157288c0e6c3fd227c6cd26f1de52fb,True,-3895217.039364681,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,1,19.004999905359,"[-0.02293 -0.09231 -0.0971  -0.23982  0.      -0.14449  0.09079  0.
 -0.12497  0.09024  0.       0.09477  0.09136  0.09055  0.       0.
  0.       0.2599   0.10539  0.       0.       0.       0.       0.
  0.       0.       0.10346  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
015ad1a717ca227813e5de39146eb779,True,-3504385.195858082,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,8,29.75043430365622,"[-0.37995 -0.3917   0.47735  0.       0.       0.55307  0.       0.
 -0.41579 -0.02939  0.       0.       0.       0.       0.       0.
  0.      -0.09827  0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.01212 -0.07749  0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
015b158437b0bb2965227f5676ebec1e,True,-3756704.300227692,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,184.92506992584092,"[ 0.26104 -0.50217  0.25044 -0.14236  0.       0.03686  0.       0.
 -0.51222 -0.14407  0.      -0.08786  0.11353  0.       0.       0.
  0.       0.11335  0.09938  0.09934  0.       0.       0.       0.
  0.       0.       0.03804  0.       0.      -0.01982  0.11476  0.
  0.       0.       0.       0.11255  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
015deaf5d8c2bf665f3f78caa0f5facf,True,-3378557.148865219,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,18.56496618501842,"[-0.01112  0.03304 -0.08668 -0.09839  0.      -0.60734  0.10158  0.08717
 -0.09582  0.09009  0.      -0.09672  0.08814  0.       0.       0.
  0.       0.03403  0.03106  0.       0.       0.       0.       0.
  0.       0.      -0.01579  0.08556  0.       0.       0.       0.
  0.       0.       0.       0.0871   0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
01779621b8ada6aa291fd8315f3482f4,True,-4112413.515415374,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,172.80922979768366,"[-0.00581 -0.03429 -0.11176  0.12232  0.       0.01314  0.       0.
 -0.07445  0.11576  0.       0.       0.       0.       0.       0.
  0.       0.63322  0.       0.       0.       0.       0.       0.
  0.       0.       0.12311  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
017bd675bbf545fcae7a2c3ce7991908,True,-1721519.8713412606,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,14,-42.20283458917402,"[-0.02791  0.14782 -0.0848  -0.14665  0.      -0.47432 -0.11775  0.
  0.14498 -0.22559  0.       0.17454  0.0875   0.       0.       0.
  0.      -0.03782  0.       0.      -0.13544  0.08591  0.       0.
  0.       0.      -0.24013  0.       0.       0.08488  0.08335  0.08137
  0.       0.       0.      -0.57058  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
017d7b03bd12f6a2c7d2d90c1ad0302a,True,-3898974.020168104,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,13,-18.35619959048927,"[ 0.19605 -0.59762  0.02017 -0.15034  0.       0.49763  0.       0.
 -0.04632 -0.10689  0.       0.1922   0.10578  0.       0.       0.
  0.      -0.65309  0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.      -0.04156  0.09609  0.
  0.       0.       0.      -0.92599  0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0192d6e1bd5cb3f9d211c3b5595d1a81,True,-3382326.770713695,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,72.48261816753075,"[-0.11021 -0.02279 -0.00177  0.09429  0.       0.2072  -0.06599  0.
 -0.11007 -0.24135  0.       0.       0.       0.       0.       0.
  0.      -0.60155 -0.009    0.      -0.04641  0.10379  0.       0.
  0.       0.       0.09374  0.       0.       0.09866  0.09609  0.09312
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
0198323259953437c2b2a09b7bfcffc5,True,-3468929.4533754773,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,22,-54.57039710972458,"[-0.64797  0.67263  0.19382  0.       0.      -0.72684 -0.6552   0.
 -0.12214  0.15455  0.       0.       0.       0.       0.       0.
  0.       0.59557  0.       0.       0.4842   0.       0.       0.
  0.       0.       0.18253  0.1287   0.      -0.10697  0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",train
019c6bbc35d774191a9ecb806ad0b0c8,True,-3402153.166938667,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,20,112.21296340972184,"[-0.0777   0.17568 -0.07873  0.12144  0.      -0.37993  0.1316   0.
 -0.09765  0.10703  0.       0.       0.       0.       0.       0.
  0.       0.36924  0.10791  0.      -0.56512  0.56645  0.       0.
  0.       0.       0.11429  0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.     ]",test
