nuc_prod_name,nuc_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
80c37da7b55fdc04f675a9539a4ddbc5_nuc_19,CC1C=C(c2ccc(C(=O)NCCCCN3CCCCC3)cc2)C=N[CH+]1,[H]C1=N[C+]([H])C([H])(C([H])([H])[H])C([H])=C1c1c([H])c([H])c(C(=O)N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2C([H])([H])C([H])([H])C([H])([H])C([H])([H])C2([H])[H])c([H])c1[H],1,True,True
452dbce9948bc902c31b8dac31f50d36_nuc_23,C[F+]c1cc(C(=O)Nc2ccc(S(=O)(=O)NC3=NCCCCC3)cc2)c(Cl)cc1F,[H]c1c(F)c([F+]C([H])([H])[H])c([H])c(C(=O)N([H])c2c([H])c([H])c(S(=O)(=O)N([H])C3=NC([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2[H])c1Cl,1,True,True
5dca0650ce0fc52b48320ba3e67f57bb_nuc_20,CCc1ccc(S(=O)(=O)Nc2c([N+](=O)[O-])ccc3c2=CC(C)[CH+]C=3)cc1,[H]C1=c2c([H])c([H])c([N+](=O)[O-])c(N([H])S(=O)(=O)c3c([H])c([H])c(C([H])([H])C([H])([H])[H])c([H])c3[H])c2=C([H])C([H])(C([H])([H])[H])[C+]1[H],1,True,True
0f574d45fbf846559d4fefb06ab69343_nuc_0,COC(=[NH+]N1CCCCC1)c1cnc(-c2ccc(Cl)cc2Cl)c(-c2ccc(Cl)cc2)n1,[H]c1nc(-c2c([H])c([H])c(Cl)c([H])c2Cl)c(-c2c([H])c([H])c(Cl)c([H])c2[H])nc1C(OC([H])([H])[H])=[N+]([H])N1C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])[H],1,True,True
f1ec88a6b70de7e05464b07b4c7fd028_nuc_7,Cn1c(CN2N=NC3(C)[CH+]C=CC=C23)nnc1SCC(N)=O,[H]C1=C([H])[C+]([H])C2(C([H])([H])[H])N=NN(C([H])([H])c3nnc(SC([H])([H])C(=O)N([H])[H])n3C([H])([H])[H])C2=C1[H],1,True,True
bad5f5ca71696048d4bf769a5731ca19_nuc_24,CC1NC(C(O)c2ccc(-c3ccccc3)cc2)=N[C+]1c1ccc(F)cc1,[H]OC([H])(C1=N[C+](c2c([H])c([H])c(F)c([H])c2[H])C([H])(C([H])([H])[H])N1[H])c1c([H])c([H])c(-c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],1,True,True
9a55332c723373b5723a2d78e920e99a_nuc_11,C[NH+](C(=S)NC(=O)c1ccc(Br)cc1)c1ccc(S(=O)(=O)NC(=N)N)cc1,[H]N=C(N([H])[H])N([H])S(=O)(=O)c1c([H])c([H])c([N+]([H])(C(=S)N([H])C(=O)c2c([H])c([H])c(Br)c([H])c2[H])C([H])([H])[H])c([H])c1[H],1,True,True
fd40e8cada6c54ebaba101e559feb054_nuc_1,C[N+](C)(C)S(=O)(=O)c1cccc(C(=O)N(Cc2ccc(F)cc2)Cc2ccco2)c1,[H]c1oc(C([H])([H])N(C(=O)c2c([H])c([H])c([H])c(S(=O)(=O)[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])c2[H])C([H])([H])c2c([H])c([H])c(F)c([H])c2[H])c([H])c1[H],1,True,True
a9f49a8b6dee348c34dded872ac59565_nuc_10,CC1C(O)=CC(/C=C/C(C)(C)C)=C[C+]1O,[H]OC1=C([H])C(/C([H])=C(\[H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])=C([H])[C+](O[H])C1([H])C([H])([H])[H],1,True,True
275b1de851d6ee0aa8022fffa8ad665f_nuc_17,CCCCCCCCCCCC(=O)C1=C(C)NC(C)(CCC(=O)O)[C+]1C,[H]OC(=O)C([H])([H])C([H])([H])C1(C([H])([H])[H])[C+](C([H])([H])[H])C(C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=C(C([H])([H])[H])N1[H],1,True,True
b2f5469035b64b243530a64bdc09eb8d_nuc_8,CC1C=C(C(=O)OCC(=O)NC(=O)c2ccccc2)C([N+](=O)[O-])=C[C+]1Cl,[H]C1=C([N+](=O)[O-])C(C(=O)OC([H])([H])C(=O)N([H])C(=O)c2c([H])c([H])c([H])c([H])c2[H])=C([H])C([H])(C([H])([H])[H])[C+]1Cl,1,True,True
5805a87e4f6d7f575853d6e9510b8a91_nuc_16,CCCCc1cc2c(o1)N=C(N)C1=CC=C[CH+]C12C,[H]C1=C([H])[C+]([H])C2(C([H])([H])[H])C(=C1[H])C(N([H])[H])=Nc1oc(C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c12,1,True,True
a23c0c93475dfa01b5fcbf714494ea2a_nuc_8,Cc1ccccc1[C+]1N=C(C(O)(c2ccccc2)C(F)(F)F)SC1C,[H]OC(C1=N[C+](c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])C([H])(C([H])([H])[H])S1)(c1c([H])c([H])c([H])c([H])c1[H])C(F)(F)F,1,True,True
1e4f31535106012569089c3616ceb8ae_nuc_19,CC12[CH+]C=CC=C1C1(CCNCC1)SC2c1cccc(Cl)c1,[H]C1=C([H])[C+]([H])C2(C([H])([H])[H])C(=C1[H])C1(SC2([H])c2c([H])c([H])c([H])c(Cl)c2[H])C([H])([H])C([H])([H])N([H])C([H])([H])C1([H])[H],1,True,True
946fb305f410b70a2a4950f1ead9a3e3_nuc_26,COc1ccc(S(=O)(=O)N2CCC3=CC=C[C+](c4ccc([N+](=O)[O-])cc4)C32C)cc1,[H]C1=C([H])[C+](c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C2(C([H])([H])[H])C(=C1[H])C([H])([H])C([H])([H])N2S(=O)(=O)c1c([H])c([H])c(OC([H])([H])[H])c([H])c1[H],1,True,True
58b6f59e69da28f64d8b6b678f3ed17a_nuc_5,CCOC1=CC(C)[C+](/C=C(\C)C(=O)c2c(C)cc(C)nc2O)C=C1,[H]Oc1nc(C([H])([H])[H])c([H])c(C([H])([H])[H])c1C(=O)/C(=C(\[H])[C+]1C([H])=C([H])C(OC([H])([H])C([H])([H])[H])=C([H])C1([H])C([H])([H])[H])C([H])([H])[H],1,True,True
a1c261a808d79b1ff759ad3bd23a0817_nuc_0,CC[C+](C)[C@@H]1C=C[C@](C)(O)[C@@H]2CC[C@H](C)C[C@H]21,[H]O[C@@]1(C([H])([H])[H])C([H])=C([H])[C@@]([H])([C+](C([H])([H])[H])C([H])([H])C([H])([H])[H])[C@]2([H])C([H])([H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@]21[H],1,True,True
290e06f602fbafb69472a32a31485838_nuc_16,CCOc1ccc(C2NC(=O)[C+]3NN=C(C)C32C)cc1,[H]c1c([H])c(C2([H])N([H])C(=O)[C+]3N([H])N=C(C([H])([H])[H])C32C([H])([H])[H])c([H])c([H])c1OC([H])([H])C([H])([H])[H],1,True,True
5c50f315972b0df9c350012f1c2e73bb_nuc_24,CC1[CH+]SC2=NC(=O)/C(=C\c3cccn3-c3ccc([N+](=O)[O-])cc3)C(=N)N21,[H]N=C1/C(=C(\[H])c2c([H])c([H])c([H])n2-c2c([H])c([H])c([N+](=O)[O-])c([H])c2[H])C(=O)N=C2S[C+]([H])C([H])(C([H])([H])[H])N21,1,True,True
