elec_prod_name,elec_prod_smis,smiles_from_dataframe,total_charge,match_with_confs_optimized_by_orca,sanity
494d6e02aa0140fac6056631747e4dbb_elec_13,CC1[CH-]C=NN1CC1CN(c2nc3ccccc3s2)CCO1,[H]C1=NN(C([H])([H])C2([H])OC([H])([H])C([H])([H])N(c3nc4c([H])c([H])c([H])c([H])c4s3)C2([H])[H])C([H])(C([H])([H])[H])[C-]1[H],-1,True,True
915e9e475b2de71de6eee685d516ca02_elec_10,Cc1cc(NC2=NC=C(Br)C(C)(N[C@H](C)[C@H](C)O)[N-]2)ccc1S(C)(=N)=O,[H]N=S(=O)(c1c([H])c([H])c(N([H])C2=NC([H])=C(Br)C(N([H])[C@]([H])(C([H])([H])[H])[C@@]([H])(O[H])C([H])([H])[H])(C([H])([H])[H])[N-]2)c([H])c1C([H])([H])[H])C([H])([H])[H],-1,True,True
3ff6c43d3369786470be96f2c55ac4b8_elec_22,C[C-]1N=C(c2ccccc2)N(CC(=O)NC(C2CC2)C2CC2)N1C,[H]c1c([H])c([H])c(C2=N[C-](C([H])([H])[H])N(C([H])([H])[H])N2C([H])([H])C(=O)N([H])C([H])(C2([H])C([H])([H])C2([H])[H])C2([H])C([H])([H])C2([H])[H])c([H])c1[H],-1,True,True
9133a4a6cb2ec79ea3d67e7d5bf2f15e_elec_12,Cc1ccccc1NC1=C[C-](c2ccnc(Nc3ccccc3C)c2)C(C)C=N1,[H]C1=NC(N([H])c2c([H])c([H])c([H])c([H])c2C([H])([H])[H])=C([H])[C-](c2c([H])c([H])nc(N([H])c3c([H])c([H])c([H])c([H])c3C([H])([H])[H])c2[H])C1([H])C([H])([H])[H],-1,True,True
cfe62f48c66a12330c85ce281930e2ec_elec_2,C[C-]1C=CC(S(=O)(=O)Nc2ccc(-c3ccco3)c3cccnc23)=CC1C,[H]C1=C([H])[C-](C([H])([H])[H])C([H])(C([H])([H])[H])C([H])=C1S(=O)(=O)N([H])c1c([H])c([H])c(-c2oc([H])c([H])c2[H])c2c([H])c([H])c([H])nc12,-1,True,True
5308c1ac46d2fa5df88f403218647b71_elec_5,C[C@@H]1N[C@H](CC(C)([O-])Nc2cccc(F)c2)[C@@H](O)[C@H](O)[C@@H]1O,[H]O[C@]1([H])[C@]([H])(O[H])[C@]([H])(C([H])([H])[H])N([H])[C@]([H])(C([H])([H])C([O-])(N([H])c2c([H])c([H])c([H])c(F)c2[H])C([H])([H])[H])[C@@]1([H])O[H],-1,False,False
d737516bab3244a1cc6c8a36d0835b63_elec_9,CCC(=O)N(CCC1=CC(C)[CH-]C=C1)Cc1cc2cc3c(cc2nc1O)OCO3,[H]Oc1nc2c([H])c3c(c([H])c2c([H])c1C([H])([H])N(C(=O)C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C1=C([H])C([H])(C([H])([H])[H])[C-]([H])C([H])=C1[H])OC([H])([H])O3,-1,True,True
9df3831399efe4d91f2e40492694d7ca_elec_1,CC([O-])C12CCCN1CCC2,[H]C([H])([H])C([H])([O-])C12N(C([H])([H])C([H])([H])C1([H])[H])C([H])([H])C([H])([H])C2([H])[H],-1,True,True
94b38b6b0a32cafbb1a68e45a9818f2b_elec_8,CCCCCC1=N[C-]2C(=O)N(C)C3=N[C@@H]4CCC[C@@H]4N3C2(C)N1,[H]N1C(C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=N[C-]2C(=O)N(C([H])([H])[H])C3=N[C@]4([H])C([H])([H])C([H])([H])C([H])([H])[C@]4([H])N3C21C([H])([H])[H],-1,True,True
805ffec714650dbd6d9171986e8323c1_elec_12,CC1C=C(C(=O)Oc2cncc(Br)c2)S[CH-]1,[H]C1=C(C(=O)Oc2c([H])nc([H])c(Br)c2[H])S[C-]([H])C1([H])C([H])([H])[H],-1,True,True
20c2c19a4d17e557e3c09109d06c6600_elec_24,CC1N=c2c(nc(-c3ccc([S+](C)[O-])cc3)n2C)=C(Sc2ccc(F)cc2)[N-]1,[H]c1c([H])c(SC2=c3nc(-c4c([H])c([H])c([S+]([O-])C([H])([H])[H])c([H])c4[H])n(C([H])([H])[H])c3=NC([H])(C([H])([H])[H])[N-]2)c([H])c([H])c1F,-1,True,True
fc9e7939fa423341fe178ac168538e10_elec_21,CO[S-](=O)(C/C=C(\C)CC/C=C(\C)CC[C@@]1(C)C(C)=CCC[C@@H]1C)CCNC(=N)N,[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])[S-](=O)(OC([H])([H])[H])C([H])([H])/C([H])=C(\C([H])([H])[H])C([H])([H])C([H])([H])/C([H])=C(\C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1(C([H])([H])[H])C(C([H])([H])[H])=C([H])C([H])([H])C([H])([H])[C@]1([H])C([H])([H])[H],-1,False,False
