name,success,total_energy_kjmol,heat_of_formation_kcalmol,charge,method,solvent_model,dielectric_constant,source_out,n_atoms,sdf_path,elec_sites,MAA Values [kJ/mol],split
02da5f081774af4526c24dbc627bab2b,True,-657.50348,-157.1471,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02da5f081774af4526c24dbc627bab2b_elec_6.out,52,./mopac_optimized/mopac_opt/parsed_sdf/02da5f081774af4526c24dbc627bab2b_elec_6.sdf,6,182.19295,train
02dcac44a8f2942a9389de11d8aa8a8b,True,-1487.56113,-355.53564,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02dcac44a8f2942a9389de11d8aa8a8b_elec_13.out,47,./mopac_optimized/mopac_opt/parsed_sdf/02dcac44a8f2942a9389de11d8aa8a8b_elec_13.sdf,13,274.57010000000014,train
02ed624ca3360436fd33d96104b02ca2,True,-1548.71835,-370.15257,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02ed624ca3360436fd33d96104b02ca2_elec_12.out,45,./mopac_optimized/mopac_opt/parsed_sdf/02ed624ca3360436fd33d96104b02ca2_elec_12.sdf,12,145.04970000000003,train
02fe69b729bdf9da289f88c09c9a50fd,True,-978.02965,-233.7547,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/02fe69b729bdf9da289f88c09c9a50fd_elec_10.out,55,./mopac_optimized/mopac_opt/parsed_sdf/02fe69b729bdf9da289f88c09c9a50fd_elec_10.sdf,10,34.21580999999992,train
030d5623635571866f5b82213b49069a,True,-1364.2735,-326.06919,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/030d5623635571866f5b82213b49069a_elec_11.out,58,./mopac_optimized/mopac_opt/parsed_sdf/030d5623635571866f5b82213b49069a_elec_11.sdf,11,48.27125000000001,train
031dd6f9dadade4af6bd53a2196e4a1a,True,-1123.74879,-268.58241,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/031dd6f9dadade4af6bd53a2196e4a1a_elec_9.out,37,./mopac_optimized/mopac_opt/parsed_sdf/031dd6f9dadade4af6bd53a2196e4a1a_elec_9.sdf,9,258.24174000000016,train
0357ed5a024ec4ffe3329ecf2376b024,True,-768.74255,-183.73388,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0357ed5a024ec4ffe3329ecf2376b024_elec_10.out,43,./mopac_optimized/mopac_opt/parsed_sdf/0357ed5a024ec4ffe3329ecf2376b024_elec_10.sdf,10,182.88847,test
035d0e5036992e4a30191b53bed9f3ba,True,-594.53083,-142.09628,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/035d0e5036992e4a30191b53bed9f3ba_elec_10.out,54,./mopac_optimized/mopac_opt/parsed_sdf/035d0e5036992e4a30191b53bed9f3ba_elec_10.sdf,10,209.34419000000003,train
0360b42b05f76c6d331353fce57bc9b2,True,-922.88149,-220.57397,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/0360b42b05f76c6d331353fce57bc9b2_elec_23.out,64,./mopac_optimized/mopac_opt/parsed_sdf/0360b42b05f76c6d331353fce57bc9b2_elec_23.sdf,23,217.99943,train
036eba6988afb0db766b7449cacea542,True,-740.10479,-176.88929,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/036eba6988afb0db766b7449cacea542_elec_14.out,52,./mopac_optimized/mopac_opt/parsed_sdf/036eba6988afb0db766b7449cacea542_elec_14.sdf,14,157.73361999999997,train
039e4b155be3474a0137b26462b55458,True,-212.92147,-50.88945,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/039e4b155be3474a0137b26462b55458_elec_10.out,41,./mopac_optimized/mopac_opt/parsed_sdf/039e4b155be3474a0137b26462b55458_elec_10.sdf,10,121.3245,train
03bb90f9bb2e3bbbe9ca51e58aad89c2,True,-1140.85291,-272.67039,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/03bb90f9bb2e3bbbe9ca51e58aad89c2_elec_6.out,37,./mopac_optimized/mopac_opt/parsed_sdf/03bb90f9bb2e3bbbe9ca51e58aad89c2_elec_6.sdf,6,147.88653999999997,train
03deaab43f9f99da0e893f8280fd0044,True,-333.27041,-79.65354,-1.0,PM7,COSMO,46.826,./mopac_optimized/mopac_opt/mopac_input/03deaab43f9f99da0e893f8280fd0044_elec_16.out,38,./mopac_optimized/mopac_opt/parsed_sdf/03deaab43f9f99da0e893f8280fd0044_elec_16.sdf,16,150.24278000000004,train
