name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,nuc_sites,MCA Values [kJ/mol]
c5569e379f27304f3eabe589dc6fa449,True,-4000396.087605098,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,386.6617239448242
dd9ecf40e2a0c3acba43a67dbb282560,True,-3047384.117767032,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,4,178.80510143144056
26a2f16a0c1a843d2a977db7cd0efeb9,True,-3316287.4312477536,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,2,275.95099915843457
001928ff712c3ea43419cf7e149cf37f,True,-2959073.84870679,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,289.10567068262026
093f7a529f16c440120e5b0a5aa6f06e,True,-3054403.524872472,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,388.6183512075804
e4a4ddfec81c1e9d62253c25305531ca,True,-2877453.890574002,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,10,236.2233319254592
e4323a88289449e45a89314ea5e510fa,True,-3709832.7676027142,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,23,290.6337901679799
94b0943ffbbf1277b7b6260bdd0321ee,True,-1761695.892031878,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,335.0765158513095
ea93bca272d041b7ad8fb1b97335ae1d,True,-3800129.6356568784,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,16,276.15064214216545
480a296a2a95187640237e22c362658f,True,-3025239.885852903,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,15,259.05260161357
09ff75f4577ef03946f759cd686e5d99,True,-4175151.4784274944,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,9,224.55272400612012
a435914d8920f2971333fa532077ba79,True,-2335289.469172517,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,286.0048060952686
6c18c44079a3f30323fef78dc04ba8fd,True,-3325856.133564237,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,374.44322678400204
0bafd018bf722120d87f0ab11e35ab19,True,-2452884.326165004,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,253.10914545180276
f7af4e6108b2e582fcc913000b0eb080,True,-4368120.072662983,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,6,441.1754168290645
840930273445454002b6c5c3aa942f1d,True,-3012405.743922347,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,5,315.9123621038161
e146fc56745eda04142b7958e787e03f,True,-4517316.083952873,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,253.2482260381803
a96bbbd5e467dcf4e5807b544f1fc879,True,-9518594.262757417,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,19,171.92316834442317
00938742481fdc149e27acded9c98368,True,-4335723.874236296,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,229.09386674314737
53fc314a2acadccd117c4fef20218954,True,-3104582.5672494257,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,13,368.08116885554045
fad2c4fc684192884525a2e7c146521b,True,-5413211.451499328,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,4,280.0741098597646
fbc8426addaff149a9f2959a249fbbd6,True,-4425001.015027297,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,12,228.4404324227944
f9bfafb851f5dce9e3ba7088dc66ed70,True,-3328453.5763144586,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,257.5809566224925
51ba9c8be271e948001e7da56bc71dd5,True,-2403011.68626139,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,14,246.88198831351474
2077bfcad914a35c464422f83c16fbda,True,-4259098.195875974,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,17,291.8021112009883
a46af8cb7bc0357d8d00f66d3fa36ff2,True,-3373197.338385329,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,1,252.45451127830893
e2c82ec4ee84b3757100debd3f1455ee,True,-4982884.608247766,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,12,251.8730681547895
b5d93774c860fa8f0e14bcf4b3863e6b,True,-2083314.2066447383,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,8,289.24313133535907
fdd1b4c6bf566bad8982f6969b0ce208,True,-2617281.5582189797,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,7,286.2760096937418
50fa0f5d60a12ed7683bec953e0b695e,True,-3958771.380107461,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,294.5755313648842
69dee31f409dfa54174107bd716231d0,True,-3702623.865620721,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,1,3,213.7237724675797
