name,success,total_energy_kjmol,basis_set,functional,solvent_model,solvent_name,multiplicity,charge,elec_sites,MAA Values [kJ/mol]
39423035b6d7a0651bf01ecaabf5f86e,True,-4497506.391103341,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,15.942249692976475
04b724eba0d1612de69c0c57eb215cbc,True,-2596915.62771574,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,-12.585606317501515
fbe783c99182d2ca2a4ed235824fafa7,True,-3189492.4438148118,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,-0.029477795120328665
5f290b41d7e528cb49f0ff7d688ae558,True,-3104426.5688108173,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,200.78342834627256
90db8da98a4f780ab50ecb535f7d96e3,True,-3668466.156553589,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,7,10.149006236344576
df0c26a630b2c3d4894de5305fea6fc8,True,-3121015.6262481087,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,21,78.5908953123726
d41fb878daeaaf7798451c369b70a159,True,-12462097.174851945,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,157.9474847447127
5c61168a2f32de28be0f31ea982bdaca,True,-2534704.031122479,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,8,-59.88940971670672
a3c01d37e08b77eea914e405e605a35c,True,-3293707.9679413787,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,91.69505222560838
09b20f80d274dd0881bacdcb5ec200af,True,-2314114.931167461,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,-1.1731690168380737
738c319518600c784f30750eccfd7acf,True,-2167842.037047387,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,4,4.820415806956589
6d223503386df268d94d3ff6748d43d1,True,-2992679.8162435098,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,23,29.570141251198947
9efe7c01f856dae51744208af4d252bd,True,-3973394.6371016577,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,17,39.88467866834253
a1a8b9b2114d8237274fd63a1f4e864b,True,-2459406.2144593047,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,11,1.9108477402478456
d361b2d93f66ecdb19a40ad101fa0311,True,-6594110.425318954,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,23,59.66928783431649
b8446f9c5f1e83be3fdbf80d8dab7937,True,-2629019.2416520603,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,-31.252766132354736
308d495075baaafdcaf8e7bcb757fa19,True,-2456426.6396531304,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,14.121405389159918
1a82a17a9e5c512499c89b541b59f72d,True,-3545769.429233735,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,15,32.689628505613655
e2e58e7507473da157fd1520e982b7a7,True,-4935477.141594871,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,71.92787637282163
40d6ee2d5ef9c8a1dbbea01aaba4109b,True,-3720662.139614695,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,94.36983237275854
cd0595c1cbfa184e89e66bd92de7b489,True,-3649086.0202891286,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,168.16109795682132
8ea229ca4d64127cf9df386758198dd1,True,-2054235.936429968,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,12,75.61562937195413
495f24c843f90c0b911b8e9b47c5f953,True,-4562124.697857285,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,5,10.12256745621562
632e0d06798d3356fc454570f7a75b4b,True,-1953044.1350756767,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,2,183.84816616261378
e147186b91bcadf9f86952ef7b0547c0,True,-3947526.204034428,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,19,61.2835499625653
e701410fcfd3451249a71072c6b3b1b7,True,-3527831.406840871,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,18,173.46439694892615
a82fd920d3e550d0c7f508bcfa3aa27f,True,-5464416.576476096,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,15,41.98179640900344
972a26bcca95aab5985445282e445ac7,True,-2524532.308413399,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,9,132.33525645034388
b3911eae3bda9f4c63be8c508f6d7aba,True,-3116507.305958033,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,13,111.27571259113029
63c7546b705c043015f5947899bf37a5,True,-4259143.774337614,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,13,28.071427359245718
6e51fd41c7e91297339d250ba86f7e32,True,-2966525.374779813,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,6,137.2662149751559
6e9a87dc7c7cc7c42af94f3bc9f9037c,True,-3185391.142034272,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,3,37.584163478109986
3ae14fb862c9f4613707e33599fbb6be,True,-3917362.582899605,def2TZVP,wB97XD,SMD-IEFPCM,dimethylsulfoxide,1,-1,20,163.0921510513872
